Cmd Voltage1 Voltage2 Current
-0.601667 3221225472 13 1
-0.6 3221225472 13 1
-0.598333 3221225472 13 1
-0.596667 3221225472 13 1
-0.595 3221225472 13 1
-0.593333 83886080 13 1
-0.591667 83886080 13 1
-0.59 83886080 13 1
-0.588333 83886080 13 1
-0.586667 83886080 13 1
-0.585 83886080 13 1
-0.583333 83886080 13 1
-0.581667 83886080 13 1
-0.58 83886080 13 1
-0.578333 83886080 13 1
-0.576667 654311424 12 1
-0.575 654311424 12 1
-0.573333 654311424 12 1
-0.571667 654311424 12 1
-0.57 654311424 12 1
-0.568333 654311424 12 1
-0.566667 654311424 12 1
-0.565 654311424 12 1
-0.563333 654311424 12 1
-0.561667 654311424 12 1
-0.56 3909091328 11 1
-0.558333 3909091328 11 1
-0.556667 3909091328 11 1
-0.555 3909091328 11 1
-0.553333 3909091328 11 1
-0.551667 3909091328 11 1
-0.55 3909091328 11 1
-0.548333 3909091328 11 1
-0.546667 3909091328 11 1
-0.545 3909091328 11 1
-0.543333 3724541952 11 1
-0.541667 3724541952 11 1
-0.54 3724541952 11 1
-0.538333 3724541952 11 1
-0.536667 3724541952 11 1
-0.535 3724541952 11 1
-0.533333 3724541952 11 1
-0.531667 3724541952 11 1
-0.53 3724541952 11 1
-0.528333 3724541952 11 1
-0.526667 2684354560 11 1
-0.525 2684354560 11 1
-0.523333 2684354560 11 1
-0.521667 2684354560 11 1
-0.52 2684354560 11 1
-0.518333 2684354560 11 1
-0.516667 2684354560 11 1
-0.515 2684354560 11 1
-0.513333 2684354560 11 1
-0.511667 2684354560 11 1
-0.51 2969567232 10 1
-0.508333 2969567232 10 1
-0.506667 2969567232 10 1
-0.505 2969567232 10 1
-0.503333 2969567232 10 1
-0.501667 2969567232 10 1
-0.5 2969567232 10 1
-0.498333 2969567232 10 1
-0.496667 2969567232 10 1
-0.495 2969567232 10 1
-0.493333 2147483648 10 1
-0.491667 2147483648 10 1
-0.49 2147483648 10 1
-0.488333 2147483648 10 1
-0.486667 2147483648 10 1
-0.485 2147483648 10 1
-0.483333 2147483648 10 1
-0.481667 2147483648 10 1
-0.48 2147483648 10 1
-0.478333 2147483648 10 1
-0.476667 1694498816 10 1
-0.475 1694498816 10 1
-0.473333 1694498816 10 1
-0.471667 1694498816 10 1
-0.47 1694498816 10 1
-0.468333 1694498816 10 1
-0.466667 1694498816 10 1
-0.465 1694498816 10 1
-0.463333 1694498816 10 1
-0.461667 1694498816 10 1
-0.46 1979711488 10 1
-0.458333 1979711488 10 1
-0.456667 1979711488 10 1
-0.455 1979711488 10 1
-0.453333 1979711488 10 1
-0.451667 1979711488 10 1
-0.45 1979711488 10 1
-0.448333 1979711488 10 1
-0.446667 1979711488 10 1
-0.445 1979711488 10 1
-0.443333 184549376 10 1
-0.441667 184549376 10 1
-0.44 184549376 10 1
-0.438333 184549376 10 1
-0.436667 184549376 10 1
-0.435 184549376 10 1
-0.433333 184549376 10 1
-0.431667 184549376 10 1
-0.43 184549376 10 1
-0.428333 184549376 10 1
-0.426667 587202560 9 1
-0.425 587202560 9 1
-0.423333 587202560 9 1
-0.421667 587202560 9 1
-0.42 587202560 9 1
-0.418333 587202560 9 1
-0.416667 587202560 9 1
-0.415 587202560 9 1
-0.413333 587202560 9 1
-0.411667 587202560 9 1
-0.41 50331648 9 1
-0.408333 50331648 9 1
-0.406667 50331648 9 1
-0.405 50331648 9 1
-0.403333 50331648 9 1
-0.401667 50331648 9 1
-0.4 50331648 9 1
-0.398333 50331648 9 1
-0.396667 50331648 9 1
-0.395 50331648 9 1
-0.393333 3539992576 8 1
-0.391667 3539992576 8 1
-0.39 3539992576 8 1
-0.388333 3539992576 8 1
-0.386667 3539992576 8 1
-0.385 3539992576 8 1
-0.383333 3539992576 8 1
-0.381667 3539992576 8 1
-0.38 3539992576 8 1
-0.378333 3539992576 8 1
-0.376667 2785017856 8 1
-0.375 2785017856 8 1
-0.373333 2785017856 8 1
-0.371667 2785017856 8 1
-0.37 2785017856 8 1
-0.368333 2785017856 8 1
-0.366667 2785017856 8 1
-0.365 2785017856 8 1
-0.363333 1392508928 8 1
-0.361667 1392508928 8 1
-0.36 1392508928 8 1
-0.358333 1392508928 8 1
-0.356667 1392508928 8 1
-0.355 1392508928 8 1
-0.353333 1392508928 8 1
-0.351667 1392508928 8 1
-0.35 1392508928 8 1
-0.348333 1392508928 8 1
-0.346667 2483027968 7 1
-0.345 2483027968 7 1
-0.343333 2483027968 7 1
-0.341667 2483027968 7 1
-0.34 2483027968 7 1
-0.338333 2483027968 7 1
-0.336667 2483027968 7 1
-0.335 2483027968 7 1
-0.333333 2483027968 7 1
-0.331667 2483027968 7 1
-0.33 1728053248 7 1
-0.328333 1728053248 7 1
-0.326667 1728053248 7 1
-0.325 1728053248 7 1
-0.323333 1728053248 7 1
-0.321667 1728053248 7 1
-0.32 1728053248 7 1
-0.318333 1728053248 7 1
-0.316667 1728053248 7 1
-0.315 1728053248 7 1
-0.313333 1090519040 7 1
-0.311667 1090519040 7 1
-0.31 1090519040 7 1
-0.308333 1090519040 7 1
-0.306667 1090519040 7 1
-0.305 1090519040 7 1
-0.303333 1090519040 7 1
-0.301667 1090519040 7 1
-0.3 1090519040 7 1
-0.298333 1090519040 7 1
-0.296667 4043309056 6 1
-0.295 4043309056 6 1
-0.293333 4043309056 6 1
-0.291667 4043309056 6 1
-0.29 4043309056 6 1
-0.288333 4043309056 6 1
-0.286667 4043309056 6 1
-0.285 4043309056 6 1
-0.283333 4043309056 6 1
-0.281667 4043309056 6 1
-0.28 3925868544 5 1
-0.278333 3925868544 5 1
-0.276667 3925868544 5 1
-0.275 3925868544 5 1
-0.273333 3925868544 5 1
-0.271667 3925868544 5 1
-0.27 3925868544 5 1
-0.268333 3925868544 5 1
-0.266667 3925868544 5 1
-0.265 3925868544 5 1
-0.263333 100663296 6 1
-0.261667 100663296 6 1
-0.26 100663296 6 1
-0.258333 100663296 6 1
-0.256667 100663296 6 1
-0.255 100663296 6 1
-0.253333 100663296 6 1
-0.251667 100663296 6 1
-0.25 100663296 6 1
-0.248333 100663296 6 1
-0.246667 3170893824 5 1
-0.245 3170893824 5 1
-0.243333 3170893824 5 1
-0.241667 3170893824 5 1
-0.24 3170893824 5 1
-0.238333 3170893824 5 1
-0.236667 3170893824 5 1
-0.235 3170893824 5 1
-0.233333 3170893824 5 1
-0.231667 3170893824 5 1
-0.23 1778384896 5 1
-0.228333 1778384896 5 1
-0.226667 1778384896 5 1
-0.225 1778384896 5 1
-0.223333 1778384896 5 1
-0.221667 1778384896 5 1
-0.22 1778384896 5 1
-0.218333 1778384896 5 1
-0.216667 1778384896 5 1
-0.215 1778384896 5 1
-0.213333 2516582400 4 1
-0.211667 2516582400 4 1
-0.21 2516582400 4 1
-0.208333 2516582400 4 1
-0.206667 2516582400 4 1
-0.205 2516582400 4 1
-0.203333 2516582400 4 1
-0.201667 2516582400 4 1
-0.2 2516582400 4 1
-0.198333 2516582400 4 1
-0.196667 1124073472 4 1
-0.195 1124073472 4 1
