Cmd Voltage1 Voltage2 Current
-0.581667 24 3440 510
-0.58 24 3440 510
-0.578333 24 3440 510
-0.576667 24 3440 510
-0.575 24 3440 510
-0.573333 24 3440 510
-0.571667 24 3440 510
-0.57 20 3572 531
-0.568333 20 3572 531
-0.566667 20 3572 531
-0.565 20 3572 531
-0.563333 20 3572 531
-0.561667 20 3572 531
-0.56 20 3572 531
-0.558333 20 3572 531
-0.556667 20 3572 531
-0.555 20 3572 531
-0.553333 13 3416 491
-0.551667 13 3416 491
-0.55 13 3416 491
-0.548333 13 3416 491
-0.546667 13 3416 491
-0.545 13 3416 491
-0.543333 13 3416 491
-0.541667 13 3416 491
-0.54 13 3416 491
-0.538333 13 3416 491
-0.536667 10 3170 488
-0.535 10 3170 488
-0.533333 10 3170 488
-0.531667 10 3170 488
-0.53 10 3170 488
-0.528333 10 3170 488
-0.526667 10 3170 488
-0.525 10 3170 488
-0.523333 10 3170 488
-0.521667 10 3170 488
-0.52 6 3007 498
-0.518333 6 3007 498
-0.516667 6 3007 498
-0.515 6 3007 498
-0.513333 6 3007 498
-0.511667 6 3007 498
-0.51 6 3007 498
-0.508333 6 3007 498
-0.506667 6 3007 498
-0.505 6 3007 498
-0.503333 20 3108 508
-0.501667 20 3108 508
-0.5 20 3108 508
-0.498333 20 3108 508
-0.496667 20 3108 508
-0.495 20 3108 508
-0.493333 20 3108 508
-0.491667 20 3108 508
-0.49 20 3108 508
-0.488333 20 3108 508
-0.486667 17 3066 520
-0.485 17 3066 520
-0.483333 17 3066 520
-0.481667 17 3066 520
-0.48 17 3066 520
-0.478333 17 3066 520
-0.476667 17 3066 520
-0.475 17 3066 520
-0.473333 17 3066 520
-0.471667 17 3066 520
-0.47 13 2910 485
-0.468333 13 2910 485
-0.466667 13 2910 485
-0.465 13 2910 485
-0.463333 13 2910 485
-0.461667 13 2910 485
-0.46 13 2910 485
-0.458333 13 2910 485
-0.456667 13 2910 485
-0.455 13 2910 485
-0.453333 3 2664 481
-0.451667 3 2664 481
-0.45 3 2664 481
-0.448333 3 2664 481
-0.446667 3 2664 481
-0.445 3 2664 481
-0.443333 3 2664 481
-0.441667 3 2664 481
-0.44 3 2664 481
-0.438333 3 2664 481
-0.436667 6 2553 481
-0.435 6 2553 481
-0.433333 6 2553 481
-0.431667 6 2553 481
-0.43 6 2553 481
-0.428333 6 2553 481
-0.426667 6 2553 481
-0.425 6 2553 481
-0.423333 6 2553 481
-0.421667 6 2553 481
-0.42 27 2501 489
-0.418333 27 2501 489
-0.416667 27 2501 489
-0.415 27 2501 489
-0.413333 27 2501 489
-0.411667 27 2501 489
-0.41 27 2501 489
-0.408333 27 2501 489
-0.406667 27 2501 489
-0.405 27 2501 489
-0.403333 20 2581 499
-0.401667 20 2581 499
-0.4 20 2581 499
-0.398333 20 2581 499
-0.396667 20 2581 499
-0.395 20 2581 499
-0.393333 20 2581 499
-0.391667 20 2581 499
-0.39 20 2581 499
-0.388333 20 2581 499
-0.386667 6 2384 469
-0.385 6 2384 469
-0.383333 6 2384 469
-0.381667 6 2384 469
-0.38 6 2384 469
-0.378333 6 2384 469
-0.376667 6 2384 469
-0.375 6 2384 469
-0.373333 6 2384 469
-0.371667 6 2384 469
-0.37 0 2172 464
-0.368333 0 2172 464
-0.366667 0 2172 464
-0.365 0 2172 464
-0.363333 0 2172 464
-0.361667 0 2172 464
-0.36 0 2172 464
-0.358333 0 2172 464
-0.356667 0 2172 464
-0.355 0 2172 464
-0.353333 6 2110 460
-0.351667 6 2110 460
-0.35 6 2110 460
-0.348333 6 2110 460
-0.346667 6 2110 460
-0.345 6 2110 460
-0.343333 6 2110 460
-0.341667 6 2110 460
-0.34 6 2110 460
-0.338333 6 2110 460
-0.336667 24 2162 478
-0.335 24 2162 478
-0.333333 24 2162 478
-0.331667 24 2162 478
-0.33 24 2162 478
-0.328333 24 2162 478
-0.326667 24 2162 478
-0.325 24 2162 478
-0.323333 24 2162 478
-0.321667 24 2162 478
-0.32 10 2086 473
-0.318333 10 2086 473
-0.316667 10 2086 473
-0.315 10 2086 473
-0.313333 10 2086 473
-0.311667 10 2086 473
-0.31 10 2086 473
-0.308333 10 2086 473
-0.306667 10 2086 473
-0.305 10 2086 473
-0.303333 0 1840 450
-0.301667 0 1840 450
-0.3 0 1840 450
-0.298333 0 1840 450
-0.296667 0 1840 450
-0.295 0 1840 450
-0.293333 0 1840 450
-0.291667 0 1840 450
-0.29 0 1840 450
-0.288333 0 1840 450
